externalId;customerExternalId;label;addressLine1;addressLine2;postalCode;city;country;isDefault;notes
SITE-0038;CLI-0038;Chantier principal;39 avenue Victor Hugo;;29200;Brest;FR;true;
SITE-0039;CLI-0039;Bureau;40 boulevard Haussmann;;29800;Landerneau;FR;true;
SITE-0040;CLI-0040;Siège;41 rue du Commerce;;75001;Paris;FR;true;
SITE-0041;CLI-0041;Agence;42 place de la République;;75002;Paris;FR;true;
SITE-0042;CLI-0042;Entrepôt;43 chemin des Vignes;;69001;Lyon;FR;true;
SITE-0043;CLI-0043;Chantier principal;44 impasse des Lilas;;69003;Lyon;FR;true;
SITE-0044;CLI-0044;Bureau;45 allée des Tilleuls;;13001;Marseille;FR;true;
SITE-0045;CLI-0045;Siège;46 rue Nationale;Étage 2;33000;Bordeaux;FR;true;
SITE-0046;CLI-0046;Agence;47 cours Mirabeau;;31000;Toulouse;FR;true;
SITE-0047;CLI-0047;Entrepôt;48 rue de la Paix;;44000;Nantes;FR;true;
SITE-0048;CLI-0048;Chantier principal;49 avenue Victor Hugo;;59000;Lille;FR;true;
SITE-0049;CLI-0049;Bureau;50 boulevard Haussmann;;67000;Strasbourg;FR;true;
SITE-0050;CLI-0050;Siège;51 rue du Commerce;;34000;Montpellier;FR;true;
SITE-0051;CLI-0051;Agence;52 place de la République;;06000;Nice;FR;true;Site principal
SITE-0052;CLI-0052;Entrepôt;53 chemin des Vignes;;35000;Rennes;FR;true;
SITE-0053;CLI-0053;Chantier principal;54 impasse des Lilas;;51100;Reims;FR;true;
SITE-0054;CLI-0054;Bureau;55 allée des Tilleuls;Étage 2;21000;Dijon;FR;true;
SITE-0055;CLI-0055;Siège;56 rue Nationale;;80000;Amiens;FR;true;
SITE-0056;CLI-0056;Agence;57 cours Mirabeau;;76000;Rouen;FR;true;
SITE-0057;CLI-0057;Entrepôt;58 rue de la Paix;;14000;Caen;FR;true;
SITE-0058;CLI-0058;Chantier principal;59 avenue Victor Hugo;;29200;Brest;FR;true;
SITE-0059;CLI-0059;Bureau;60 boulevard Haussmann;;29800;Landerneau;FR;true;
SITE-0060;CLI-0060;Siège;61 rue du Commerce;;75001;Paris;FR;true;
SITE-0061;CLI-0061;Agence;62 place de la République;;75002;Paris;FR;true;
SITE-0062;CLI-0062;Entrepôt;63 chemin des Vignes;;69001;Lyon;FR;true;
SITE-0063;CLI-0063;Chantier principal;64 impasse des Lilas;Étage 2;69003;Lyon;FR;true;
SITE-0064;CLI-0064;Bureau;65 allée des Tilleuls;;13001;Marseille;FR;true;
SITE-0065;CLI-0065;Siège;66 rue Nationale;;33000;Bordeaux;FR;true;
SITE-0066;CLI-0066;Agence;67 cours Mirabeau;;31000;Toulouse;FR;true;
SITE-0067;CLI-0067;Entrepôt;68 rue de la Paix;;44000;Nantes;FR;true;
SITE-0068;CLI-0068;Chantier principal;69 avenue Victor Hugo;;59000;Lille;FR;true;Site principal
SITE-0069;CLI-0069;Bureau;70 boulevard Haussmann;;67000;Strasbourg;FR;true;
SITE-0070;CLI-0070;Siège;71 rue du Commerce;;34000;Montpellier;FR;true;
SITE-0071;CLI-0071;Agence;72 place de la République;;06000;Nice;FR;true;
SITE-0072;CLI-0072;Entrepôt;73 chemin des Vignes;Étage 2;35000;Rennes;FR;true;
SITE-0073;CLI-0073;Chantier principal;74 impasse des Lilas;;51100;Reims;FR;true;
SITE-0074;CLI-0074;Bureau;75 allée des Tilleuls;;21000;Dijon;FR;true;
SITE-0075;CLI-0075;Siège;76 rue Nationale;;80000;Amiens;FR;true;
SITE-0076;CLI-0076;Agence;77 cours Mirabeau;;76000;Rouen;FR;true;
SITE-0077;CLI-0077;Entrepôt;78 rue de la Paix;;14000;Caen;FR;true;
SITE-0078;CLI-0078;Chantier principal;79 avenue Victor Hugo;;29200;Brest;FR;true;
SITE-0079;CLI-0079;Bureau;80 boulevard Haussmann;;29800;Landerneau;FR;true;
SITE-0080;CLI-0080;Siège;1 rue du Commerce;;75001;Paris;FR;true;
SITE-0081;CLI-0081;Agence;2 place de la République;Étage 2;75002;Paris;FR;true;
SITE-0082;CLI-0082;Entrepôt;3 chemin des Vignes;;69001;Lyon;FR;true;
SITE-0083;CLI-0083;Chantier principal;4 impasse des Lilas;;69003;Lyon;FR;true;
SITE-0084;CLI-0084;Bureau;5 allée des Tilleuls;;13001;Marseille;FR;true;
SITE-0085;CLI-0085;Siège;6 rue Nationale;;33000;Bordeaux;FR;true;Site principal
SITE-0086;CLI-0086;Agence;7 cours Mirabeau;;31000;Toulouse;FR;true;
SITE-0087;CLI-0087;Entrepôt;8 rue de la Paix;;44000;Nantes;FR;true;
SITE-0088;CLI-0088;Chantier principal;9 avenue Victor Hugo;;59000;Lille;FR;true;
SITE-0089;CLI-0089;Bureau;10 boulevard Haussmann;;67000;Strasbourg;FR;true;
SITE-0090;CLI-0090;Siège;11 rue du Commerce;Étage 2;34000;Montpellier;FR;true;
SITE-0091;CLI-0091;Agence;12 place de la République;;06000;Nice;FR;true;
SITE-0092;CLI-0092;Entrepôt;13 chemin des Vignes;;35000;Rennes;FR;true;
SITE-0093;CLI-0093;Chantier principal;14 impasse des Lilas;;51100;Reims;FR;true;
SITE-0094;CLI-0094;Bureau;15 allée des Tilleuls;;21000;Dijon;FR;true;
SITE-0095;CLI-0095;Siège;16 rue Nationale;;80000;Amiens;FR;true;
SITE-0096;CLI-0096;Agence;17 cours Mirabeau;;76000;Rouen;FR;true;
SITE-0097;CLI-0097;Entrepôt;18 rue de la Paix;;14000;Caen;FR;true;
SITE-0098;CLI-0098;Chantier principal;19 avenue Victor Hugo;;29200;Brest;FR;true;
SITE-0099;CLI-0099;Bureau;20 boulevard Haussmann;Étage 2;29800;Landerneau;FR;true;
SITE-0100;CLI-0100;Siège;21 rue du Commerce;;75001;Paris;FR;true;
SITE-0101;CLI-0101;Agence;22 place de la République;;75002;Paris;FR;true;
SITE-0102;CLI-0102;Entrepôt;23 chemin des Vignes;;69001;Lyon;FR;true;Site principal
SITE-0103;CLI-0103;Chantier principal;24 impasse des Lilas;;69003;Lyon;FR;true;
SITE-0104;CLI-0104;Bureau;25 allée des Tilleuls;;13001;Marseille;FR;true;
SITE-0105;CLI-0105;Siège;26 rue Nationale;;33000;Bordeaux;FR;true;
SITE-0106;CLI-0106;Agence;27 cours Mirabeau;;31000;Toulouse;FR;true;
SITE-0107;CLI-0107;Entrepôt;28 rue de la Paix;;44000;Nantes;FR;true;
SITE-0108;CLI-0108;Chantier principal;29 avenue Victor Hugo;Étage 2;59000;Lille;FR;true;
SITE-0109;CLI-0109;Bureau;30 boulevard Haussmann;;67000;Strasbourg;FR;true;
SITE-0110;CLI-0110;Siège;31 rue du Commerce;;34000;Montpellier;FR;true;
SITE-0111;CLI-0111;Agence;32 place de la République;;06000;Nice;FR;true;
SITE-0112;CLI-0112;Entrepôt;33 chemin des Vignes;;35000;Rennes;FR;true;
SITE-0113;CLI-0113;Chantier principal;34 impasse des Lilas;;51100;Reims;FR;true;
SITE-0114;CLI-0114;Bureau;35 allée des Tilleuls;;21000;Dijon;FR;true;
SITE-0115;CLI-0115;Siège;36 rue Nationale;;80000;Amiens;FR;true;
SITE-0116;CLI-0116;Agence;37 cours Mirabeau;;76000;Rouen;FR;true;
SITE-0117;CLI-0117;Entrepôt;38 rue de la Paix;Étage 2;14000;Caen;FR;true;
SITE-0118;CLI-0118;Chantier principal;39 avenue Victor Hugo;;29200;Brest;FR;true;
SITE-0119;CLI-0119;Bureau;40 boulevard Haussmann;;29800;Landerneau;FR;true;Site principal
SITE-0120;CLI-0120;Siège;41 rue du Commerce;;75001;Paris;FR;true;
SITE-0121;CLI-0121;Agence;42 place de la République;;75002;Paris;FR;true;
SITE-0122;CLI-0122;Entrepôt;43 chemin des Vignes;;69001;Lyon;FR;true;
SITE-0123;CLI-0123;Chantier principal;44 impasse des Lilas;;69003;Lyon;FR;true;
SITE-0124;CLI-0124;Bureau;45 allée des Tilleuls;;13001;Marseille;FR;true;
SITE-0125;CLI-0125;Siège;46 rue Nationale;;33000;Bordeaux;FR;true;
SITE-0126;CLI-0126;Agence;47 cours Mirabeau;Étage 2;31000;Toulouse;FR;true;
SITE-0127;CLI-0127;Entrepôt;48 rue de la Paix;;44000;Nantes;FR;true;
SITE-0128;CLI-0128;Chantier principal;49 avenue Victor Hugo;;59000;Lille;FR;true;
SITE-0129;CLI-0129;Bureau;50 boulevard Haussmann;;67000;Strasbourg;FR;true;
SITE-0130;CLI-0130;Siège;51 rue du Commerce;;34000;Montpellier;FR;true;
SITE-0131;CLI-0131;Agence;52 place de la République;;06000;Nice;FR;true;
SITE-0132;CLI-0132;Entrepôt;53 chemin des Vignes;;35000;Rennes;FR;true;
SITE-0133;CLI-0133;Chantier principal;54 impasse des Lilas;;51100;Reims;FR;true;
SITE-0134;CLI-0134;Bureau;55 allée des Tilleuls;;21000;Dijon;FR;true;
SITE-0135;CLI-0135;Siège;56 rue Nationale;Étage 2;80000;Amiens;FR;true;
SITE-0136;CLI-0136;Agence;57 cours Mirabeau;;76000;Rouen;FR;true;Site principal
SITE-0137;CLI-0137;Entrepôt;58 rue de la Paix;;14000;Caen;FR;true;
SITE-0138;CLI-0138;Chantier principal;59 avenue Victor Hugo;;29200;Brest;FR;true;
SITE-0139;CLI-0139;Bureau;60 boulevard Haussmann;;29800;Landerneau;FR;true;
SITE-0140;CLI-0140;Siège;61 rue du Commerce;;75001;Paris;FR;true;
SITE-0141;CLI-0141;Agence;62 place de la République;;75002;Paris;FR;true;
SITE-0142;CLI-0142;Entrepôt;63 chemin des Vignes;;69001;Lyon;FR;true;
SITE-0143;CLI-0143;Chantier principal;64 impasse des Lilas;;69003;Lyon;FR;true;
SITE-0144;CLI-0144;Bureau;65 allée des Tilleuls;Étage 2;13001;Marseille;FR;true;
SITE-0145;CLI-0145;Siège;66 rue Nationale;;33000;Bordeaux;FR;true;
SITE-0146;CLI-0146;Agence;67 cours Mirabeau;;31000;Toulouse;FR;true;
SITE-0147;CLI-0147;Entrepôt;68 rue de la Paix;;44000;Nantes;FR;true;
SITE-0148;CLI-0148;Chantier principal;69 avenue Victor Hugo;;59000;Lille;FR;true;
SITE-0149;CLI-0149;Bureau;70 boulevard Haussmann;;67000;Strasbourg;FR;true;
SITE-0150;CLI-0150;Siège;71 rue du Commerce;;34000;Montpellier;FR;true;
SITE-0151;CLI-0151;Agence;72 place de la République;;06000;Nice;FR;true;
SITE-0152;CLI-0152;Entrepôt;73 chemin des Vignes;;35000;Rennes;FR;true;
SITE-0153;CLI-0153;Chantier principal;74 impasse des Lilas;Étage 2;51100;Reims;FR;true;Site principal
SITE-0154;CLI-0154;Bureau;75 allée des Tilleuls;;21000;Dijon;FR;true;
SITE-0155;CLI-0155;Siège;76 rue Nationale;;80000;Amiens;FR;true;
SITE-0156;CLI-0156;Agence;77 cours Mirabeau;;76000;Rouen;FR;true;
SITE-0157;CLI-0157;Entrepôt;78 rue de la Paix;;14000;Caen;FR;true;
SITE-0158;CLI-0158;Chantier principal;79 avenue Victor Hugo;;29200;Brest;FR;true;
SITE-0159;CLI-0159;Bureau;80 boulevard Haussmann;;29800;Landerneau;FR;true;
SITE-0160;CLI-0160;Siège;1 rue du Commerce;;75001;Paris;FR;true;
SITE-0161;CLI-0161;Agence;2 place de la République;;75002;Paris;FR;true;
SITE-0162;CLI-0162;Entrepôt;3 chemin des Vignes;Étage 2;69001;Lyon;FR;true;
SITE-0163;CLI-0163;Chantier principal;4 impasse des Lilas;;69003;Lyon;FR;true;
SITE-0164;CLI-0164;Bureau;5 allée des Tilleuls;;13001;Marseille;FR;true;
SITE-0165;CLI-0165;Siège;6 rue Nationale;;33000;Bordeaux;FR;true;
SITE-0166;CLI-0166;Agence;7 cours Mirabeau;;31000;Toulouse;FR;true;
SITE-0167;CLI-0167;Entrepôt;8 rue de la Paix;;44000;Nantes;FR;true;
SITE-0168;CLI-0168;Chantier principal;9 avenue Victor Hugo;;59000;Lille;FR;true;
SITE-0169;CLI-0169;Bureau;10 boulevard Haussmann;;67000;Strasbourg;FR;true;
SITE-0170;CLI-0170;Siège;11 rue du Commerce;;34000;Montpellier;FR;true;Site principal
SITE-0171;CLI-0171;Agence;12 place de la République;Étage 2;06000;Nice;FR;true;
SITE-0172;CLI-0172;Entrepôt;13 chemin des Vignes;;35000;Rennes;FR;true;
SITE-0173;CLI-0173;Chantier principal;14 impasse des Lilas;;51100;Reims;FR;true;
SITE-0174;CLI-0174;Bureau;15 allée des Tilleuls;;21000;Dijon;FR;true;
SITE-0175;CLI-0175;Siège;16 rue Nationale;;80000;Amiens;FR;true;
SITE-0176;CLI-0176;Agence;17 cours Mirabeau;;76000;Rouen;FR;true;
SITE-0177;CLI-0177;Entrepôt;18 rue de la Paix;;14000;Caen;FR;true;
SITE-0178;CLI-0178;Chantier principal;19 avenue Victor Hugo;;29200;Brest;FR;true;
SITE-0179;CLI-0179;Bureau;20 boulevard Haussmann;;29800;Landerneau;FR;true;
SITE-0180;CLI-0180;Siège;21 rue du Commerce;Étage 2;75001;Paris;FR;true;
SITE-0181;CLI-0181;Agence;22 place de la République;;75002;Paris;FR;true;
SITE-0182;CLI-0182;Entrepôt;23 chemin des Vignes;;69001;Lyon;FR;true;
SITE-0183;CLI-0183;Chantier principal;24 impasse des Lilas;;69003;Lyon;FR;true;
SITE-0184;CLI-0184;Bureau;25 allée des Tilleuls;;13001;Marseille;FR;true;
SITE-0185;CLI-0185;Siège;26 rue Nationale;;33000;Bordeaux;FR;true;
SITE-0186;CLI-0186;Agence;27 cours Mirabeau;;31000;Toulouse;FR;true;
SITE-0187;CLI-0187;Entrepôt;28 rue de la Paix;;44000;Nantes;FR;true;Site principal
SITE-0188;CLI-0188;Chantier principal;29 avenue Victor Hugo;;59000;Lille;FR;true;
SITE-0189;CLI-0189;Bureau;30 boulevard Haussmann;Étage 2;67000;Strasbourg;FR;true;
SITE-0190;CLI-0190;Siège;31 rue du Commerce;;34000;Montpellier;FR;true;
SITE-0191;CLI-0191;Agence;32 place de la République;;06000;Nice;FR;true;
SITE-0192;CLI-0192;Entrepôt;33 chemin des Vignes;;35000;Rennes;FR;true;
SITE-0193;CLI-0193;Chantier principal;34 impasse des Lilas;;51100;Reims;FR;true;
SITE-0194;CLI-0194;Bureau;35 allée des Tilleuls;;21000;Dijon;FR;true;
SITE-0195;CLI-0195;Siège;36 rue Nationale;;80000;Amiens;FR;true;
SITE-0196;CLI-0196;Agence;37 cours Mirabeau;;76000;Rouen;FR;true;
SITE-0197;CLI-0197;Entrepôt;38 rue de la Paix;;14000;Caen;FR;true;
SITE-0198;CLI-0198;Chantier principal;39 avenue Victor Hugo;Étage 2;29200;Brest;FR;true;
SITE-0199;CLI-0199;Bureau;40 boulevard Haussmann;;29800;Landerneau;FR;true;
SITE-0200;CLI-0200;Siège;41 rue du Commerce;;75001;Paris;FR;true;
SITE-0201;CLI-0201;Agence;42 place de la République;;75002;Paris;FR;true;
SITE-0202;CLI-0202;Entrepôt;43 chemin des Vignes;;69001;Lyon;FR;true;
SITE-0203;CLI-0203;Chantier principal;44 impasse des Lilas;;69003;Lyon;FR;true;
SITE-0204;CLI-0204;Bureau;45 allée des Tilleuls;;13001;Marseille;FR;true;Site principal
SITE-0205;CLI-0205;Siège;46 rue Nationale;;33000;Bordeaux;FR;true;
SITE-0206;CLI-0206;Agence;47 cours Mirabeau;;31000;Toulouse;FR;true;
SITE-0207;CLI-0207;Entrepôt;48 rue de la Paix;Étage 2;44000;Nantes;FR;true;
SITE-0208;CLI-0208;Chantier principal;49 avenue Victor Hugo;;59000;Lille;FR;true;
SITE-0209;CLI-0209;Bureau;50 boulevard Haussmann;;67000;Strasbourg;FR;true;
SITE-0210;CLI-0210;Siège;51 rue du Commerce;;34000;Montpellier;FR;true;
SITE-0211;CLI-0211;Agence;52 place de la République;;06000;Nice;FR;true;
SITE-0212;CLI-0212;Entrepôt;53 chemin des Vignes;;35000;Rennes;FR;true;
SITE-0213;CLI-0213;Chantier principal;54 impasse des Lilas;;51100;Reims;FR;true;
SITE-0214;CLI-0214;Bureau;55 allée des Tilleuls;;21000;Dijon;FR;true;
SITE-0215;CLI-0215;Siège;56 rue Nationale;;80000;Amiens;FR;true;
SITE-0216;CLI-0216;Agence;57 cours Mirabeau;Étage 2;76000;Rouen;FR;true;
SITE-0217;CLI-0217;Entrepôt;58 rue de la Paix;;14000;Caen;FR;true;
SITE-0218;CLI-0218;Chantier principal;59 avenue Victor Hugo;;29200;Brest;FR;true;
SITE-0219;CLI-0219;Bureau;60 boulevard Haussmann;;29800;Landerneau;FR;true;
SITE-0220;CLI-0220;Siège;61 rue du Commerce;;75001;Paris;FR;true;
SITE-0221;CLI-0221;Agence;62 place de la République;;75002;Paris;FR;true;Site principal
SITE-0222;CLI-0222;Entrepôt;63 chemin des Vignes;;69001;Lyon;FR;true;
SITE-0223;CLI-0223;Chantier principal;64 impasse des Lilas;;69003;Lyon;FR;true;
SITE-0224;CLI-0224;Bureau;65 allée des Tilleuls;;13001;Marseille;FR;true;
SITE-0225;CLI-0225;Siège;66 rue Nationale;Étage 2;33000;Bordeaux;FR;true;
SITE-0226;CLI-0226;Agence;67 cours Mirabeau;;31000;Toulouse;FR;true;
SITE-0227;CLI-0227;Entrepôt;68 rue de la Paix;;44000;Nantes;FR;true;
SITE-0228;CLI-0228;Chantier principal;69 avenue Victor Hugo;;59000;Lille;FR;true;
SITE-0229;CLI-0229;Bureau;70 boulevard Haussmann;;67000;Strasbourg;FR;true;
SITE-0230;CLI-0230;Siège;71 rue du Commerce;;34000;Montpellier;FR;true;
SITE-0231;CLI-0231;Agence;72 place de la République;;06000;Nice;FR;true;
SITE-0232;CLI-0232;Entrepôt;73 chemin des Vignes;;35000;Rennes;FR;true;
SITE-0233;CLI-0233;Chantier principal;74 impasse des Lilas;;51100;Reims;FR;true;
SITE-0234;CLI-0234;Bureau;75 allée des Tilleuls;Étage 2;21000;Dijon;FR;true;
SITE-0235;CLI-0235;Siège;76 rue Nationale;;80000;Amiens;FR;true;
SITE-0236;CLI-0236;Agence;77 cours Mirabeau;;76000;Rouen;FR;true;
SITE-0237;CLI-0237;Entrepôt;78 rue de la Paix;;14000;Caen;FR;true;
SITE-0238;CLI-0238;Chantier principal;79 avenue Victor Hugo;;29200;Brest;FR;true;Site principal
SITE-0239;CLI-0239;Bureau;80 boulevard Haussmann;;29800;Landerneau;FR;true;
SITE-0240;CLI-0240;Siège;1 rue du Commerce;;75001;Paris;FR;true;
SITE-0241;CLI-0241;Agence;2 place de la République;;75002;Paris;FR;true;
SITE-0242;CLI-0242;Entrepôt;3 chemin des Vignes;;69001;Lyon;FR;true;
SITE-0243;CLI-0243;Chantier principal;4 impasse des Lilas;Étage 2;69003;Lyon;FR;true;
SITE-0244;CLI-0244;Bureau;5 allée des Tilleuls;;13001;Marseille;FR;true;
SITE-0245;CLI-0245;Siège;6 rue Nationale;;33000;Bordeaux;FR;true;
SITE-0246;CLI-0246;Agence;7 cours Mirabeau;;31000;Toulouse;FR;true;
SITE-0247;CLI-0247;Entrepôt;8 rue de la Paix;;44000;Nantes;FR;true;
SITE-0248;CLI-0248;Chantier principal;9 avenue Victor Hugo;;59000;Lille;FR;true;
SITE-0249;CLI-0249;Bureau;10 boulevard Haussmann;;67000;Strasbourg;FR;true;
SITE-0250;CLI-0250;Siège;11 rue du Commerce;;34000;Montpellier;FR;true;
SITE-0251;CLI-0251;Agence;12 place de la République;;06000;Nice;FR;true;
SITE-0252;CLI-0252;Entrepôt;13 chemin des Vignes;Étage 2;35000;Rennes;FR;true;
SITE-0253;CLI-0253;Chantier principal;14 impasse des Lilas;;51100;Reims;FR;true;
SITE-0254;CLI-0254;Bureau;15 allée des Tilleuls;;21000;Dijon;FR;true;
SITE-0255;CLI-0255;Siège;16 rue Nationale;;80000;Amiens;FR;true;Site principal
SITE-0256;CLI-0256;Agence;17 cours Mirabeau;;76000;Rouen;FR;true;
SITE-0257;CLI-0257;Entrepôt;18 rue de la Paix;;14000;Caen;FR;true;
SITE-0258;CLI-0258;Chantier principal;19 avenue Victor Hugo;;29200;Brest;FR;true;
SITE-0259;CLI-0259;Bureau;20 boulevard Haussmann;;29800;Landerneau;FR;true;
SITE-0260;CLI-0260;Siège;21 rue du Commerce;;75001;Paris;FR;true;
SITE-0261;CLI-0261;Agence;22 place de la République;Étage 2;75002;Paris;FR;true;
SITE-0262;CLI-0262;Entrepôt;23 chemin des Vignes;;69001;Lyon;FR;true;
SITE-0263;CLI-0263;Chantier principal;24 impasse des Lilas;;69003;Lyon;FR;true;
SITE-0264;CLI-0264;Bureau;25 allée des Tilleuls;;13001;Marseille;FR;true;
SITE-0265;CLI-0265;Siège;26 rue Nationale;;33000;Bordeaux;FR;true;
SITE-0266;CLI-0266;Agence;27 cours Mirabeau;;31000;Toulouse;FR;true;
SITE-0267;CLI-0267;Entrepôt;28 rue de la Paix;;44000;Nantes;FR;true;
SITE-0268;CLI-0268;Chantier principal;29 avenue Victor Hugo;;59000;Lille;FR;true;
SITE-0269;CLI-0269;Bureau;30 boulevard Haussmann;;67000;Strasbourg;FR;true;
SITE-0270;CLI-0270;Siège;31 rue du Commerce;Étage 2;34000;Montpellier;FR;true;
SITE-0271;CLI-0271;Agence;32 place de la République;;06000;Nice;FR;true;
SITE-0272;CLI-0272;Entrepôt;33 chemin des Vignes;;35000;Rennes;FR;true;Site principal
SITE-0273;CLI-0273;Chantier principal;34 impasse des Lilas;;51100;Reims;FR;true;
SITE-0274;CLI-0274;Bureau;35 allée des Tilleuls;;21000;Dijon;FR;true;
SITE-0275;CLI-0275;Siège;36 rue Nationale;;80000;Amiens;FR;true;
SITE-0276;CLI-0276;Agence;37 cours Mirabeau;;76000;Rouen;FR;true;
SITE-0277;CLI-0277;Entrepôt;38 rue de la Paix;;14000;Caen;FR;true;
SITE-0278;CLI-0278;Chantier principal;39 avenue Victor Hugo;;29200;Brest;FR;true;
SITE-0279;CLI-0279;Bureau;40 boulevard Haussmann;Étage 2;29800;Landerneau;FR;true;
SITE-0280;CLI-0280;Siège;41 rue du Commerce;;75001;Paris;FR;true;
SITE-0281;CLI-0281;Agence;42 place de la République;;75002;Paris;FR;true;
SITE-0282;CLI-0282;Entrepôt;43 chemin des Vignes;;69001;Lyon;FR;true;
SITE-0283;CLI-0283;Chantier principal;44 impasse des Lilas;;69003;Lyon;FR;true;
SITE-0284;CLI-0284;Bureau;45 allée des Tilleuls;;13001;Marseille;FR;true;
SITE-0285;CLI-0285;Siège;46 rue Nationale;;33000;Bordeaux;FR;true;
SITE-0286;CLI-0286;Agence;47 cours Mirabeau;;31000;Toulouse;FR;true;
SITE-0287;CLI-0287;Entrepôt;48 rue de la Paix;;44000;Nantes;FR;true;
SITE-0288;CLI-0288;Chantier principal;49 avenue Victor Hugo;Étage 2;59000;Lille;FR;true;
SITE-0289;CLI-0289;Bureau;50 boulevard Haussmann;;67000;Strasbourg;FR;true;Site principal
SITE-0290;CLI-0290;Siège;51 rue du Commerce;;34000;Montpellier;FR;true;
SITE-0291;CLI-0291;Agence;52 place de la République;;06000;Nice;FR;true;
SITE-0292;CLI-0292;Entrepôt;53 chemin des Vignes;;35000;Rennes;FR;true;
SITE-0293;CLI-0293;Chantier principal;54 impasse des Lilas;;51100;Reims;FR;true;
SITE-0294;CLI-0294;Bureau;55 allée des Tilleuls;;21000;Dijon;FR;true;
SITE-0295;CLI-0295;Siège;56 rue Nationale;;80000;Amiens;FR;true;
SITE-0296;CLI-0296;Agence;57 cours Mirabeau;;76000;Rouen;FR;true;
SITE-0297;CLI-0297;Entrepôt;58 rue de la Paix;Étage 2;14000;Caen;FR;true;
SITE-0298;CLI-0298;Chantier principal;59 avenue Victor Hugo;;29200;Brest;FR;true;
SITE-0299;CLI-0299;Bureau;60 boulevard Haussmann;;29800;Landerneau;FR;true;
SITE-0300;CLI-0300;Siège;61 rue du Commerce;;75001;Paris;FR;true;
SITE-0301;CLI-0301;Agence;62 place de la République;;75002;Paris;FR;true;
SITE-0302;CLI-0302;Entrepôt;63 chemin des Vignes;;69001;Lyon;FR;true;
SITE-0303;CLI-0303;Chantier principal;64 impasse des Lilas;;69003;Lyon;FR;true;
SITE-0304;CLI-0304;Bureau;65 allée des Tilleuls;;13001;Marseille;FR;true;
