externalId;caseExternalId;title;description;status;scheduledStart;scheduledEnd;startedAt;completedAt;typeName;typeColor;assigneeEmail;teamName;notes
INT-0070;DOS-0070;Intervention 70;Notes terrain 70;completed;2025-11-17T14:00:00;2025-11-17T16:00:00;2025-11-17T14:15:00;2025-11-17T15:45:00;Entretien;#16a34a;;;
INT-0071;DOS-0071;Intervention 71;;cancelled;2026-12-18T15:00:00;2026-12-18T17:00:00;;;Diagnostic;#7c3aed;;;
INT-0072;DOS-0072;Intervention 72;;planned;2024-01-19T08:00:00;2024-01-19T10:00:00;;;Pose;#2563eb;;;Import historique
INT-0073;DOS-0073;Intervention 73;;in_progress;2025-02-20T09:00:00;2025-02-20T11:00:00;2025-02-20T09:15:00;;SAV;#ea580c;;;
INT-0074;DOS-0074;Intervention 74;;completed;2026-03-21T10:00:00;2026-03-21T12:00:00;2026-03-21T10:15:00;2026-03-21T11:45:00;Entretien;#16a34a;;;
INT-0075;DOS-0075;Intervention 75;Notes terrain 75;cancelled;2024-04-22T11:00:00;2024-04-22T13:00:00;;;Diagnostic;#7c3aed;;;
INT-0076;DOS-0076;Intervention 76;;planned;2025-05-23T12:00:00;2025-05-23T14:00:00;;;Pose;#2563eb;;;
INT-0077;DOS-0077;Intervention 77;;in_progress;2026-06-24T13:00:00;2026-06-24T15:00:00;2026-06-24T13:15:00;;SAV;#ea580c;;Équipe Nord;
INT-0078;DOS-0078;Intervention 78;;completed;2024-07-25T14:00:00;2024-07-25T16:00:00;2024-07-25T14:15:00;2024-07-25T15:45:00;Entretien;#16a34a;;;
INT-0079;DOS-0079;Intervention 79;;cancelled;2025-08-26T15:00:00;2025-08-26T17:00:00;;;Diagnostic;#7c3aed;;;
INT-0080;DOS-0080;Intervention 80;Notes terrain 80;planned;2026-09-27T08:00:00;2026-09-27T10:00:00;;;Pose;#2563eb;;;Import historique
INT-0081;DOS-0081;Intervention 81;;in_progress;2024-10-01T09:00:00;2024-10-01T11:00:00;2024-10-01T09:15:00;;SAV;#ea580c;;;
INT-0082;DOS-0082;Intervention 82;;completed;2025-11-02T10:00:00;2025-11-02T12:00:00;2025-11-02T10:15:00;2025-11-02T11:45:00;Entretien;#16a34a;;;
INT-0083;DOS-0083;Intervention 83;;cancelled;2026-12-03T11:00:00;2026-12-03T13:00:00;;;Diagnostic;#7c3aed;;;
INT-0084;DOS-0084;Intervention 84;;planned;2024-01-04T12:00:00;2024-01-04T14:00:00;;;Pose;#2563eb;;;
INT-0085;DOS-0085;Intervention 85;Notes terrain 85;in_progress;2025-02-05T13:00:00;2025-02-05T15:00:00;2025-02-05T13:15:00;;SAV;#ea580c;;;
INT-0086;DOS-0086;Intervention 86;;completed;2026-03-06T14:00:00;2026-03-06T16:00:00;2026-03-06T14:15:00;2026-03-06T15:45:00;Entretien;#16a34a;;;
INT-0087;DOS-0087;Intervention 87;;cancelled;2024-04-07T15:00:00;2024-04-07T17:00:00;;;Diagnostic;#7c3aed;;;
INT-0088;DOS-0088;Intervention 88;;planned;2025-05-08T08:00:00;2025-05-08T10:00:00;;;Pose;#2563eb;;Équipe Nord;Import historique
INT-0089;DOS-0089;Intervention 89;;in_progress;2026-06-09T09:00:00;2026-06-09T11:00:00;2026-06-09T09:15:00;;SAV;#ea580c;;;
INT-0090;DOS-0090;Intervention 90;Notes terrain 90;completed;2024-07-10T10:00:00;2024-07-10T12:00:00;2024-07-10T10:15:00;2024-07-10T11:45:00;Entretien;#16a34a;;;
INT-0091;DOS-0091;Intervention 91;;cancelled;2025-08-11T11:00:00;2025-08-11T13:00:00;;;Diagnostic;#7c3aed;;;
INT-0092;DOS-0092;Intervention 92;;planned;2026-09-12T12:00:00;2026-09-12T14:00:00;;;Pose;#2563eb;;;
INT-0093;DOS-0093;Intervention 93;;in_progress;2024-10-13T13:00:00;2024-10-13T15:00:00;2024-10-13T13:15:00;;SAV;#ea580c;;;
INT-0094;DOS-0094;Intervention 94;;completed;2025-11-14T14:00:00;2025-11-14T16:00:00;2025-11-14T14:15:00;2025-11-14T15:45:00;Entretien;#16a34a;;;
INT-0095;DOS-0095;Intervention 95;Notes terrain 95;cancelled;2026-12-15T15:00:00;2026-12-15T17:00:00;;;Diagnostic;#7c3aed;;;
INT-0096;DOS-0096;Intervention 96;;planned;2024-01-16T08:00:00;2024-01-16T10:00:00;;;Pose;#2563eb;;;Import historique
INT-0097;DOS-0097;Intervention 97;;in_progress;2025-02-17T09:00:00;2025-02-17T11:00:00;2025-02-17T09:15:00;;SAV;#ea580c;;;
INT-0098;DOS-0098;Intervention 98;;completed;2026-03-18T10:00:00;2026-03-18T12:00:00;2026-03-18T10:15:00;2026-03-18T11:45:00;Entretien;#16a34a;;;
INT-0099;DOS-0099;Intervention 99;;cancelled;2024-04-19T11:00:00;2024-04-19T13:00:00;;;Diagnostic;#7c3aed;;Équipe Nord;
INT-0100;DOS-0100;Intervention 100;Notes terrain 100;planned;2025-05-20T12:00:00;2025-05-20T14:00:00;;;Pose;#2563eb;;;
INT-0101;DOS-0101;Intervention 101;;in_progress;2026-06-21T13:00:00;2026-06-21T15:00:00;2026-06-21T13:15:00;;SAV;#ea580c;;;
INT-0102;DOS-0102;Intervention 102;;completed;2024-07-22T14:00:00;2024-07-22T16:00:00;2024-07-22T14:15:00;2024-07-22T15:45:00;Entretien;#16a34a;;;
INT-0103;DOS-0103;Intervention 103;;cancelled;2025-08-23T15:00:00;2025-08-23T17:00:00;;;Diagnostic;#7c3aed;;;
INT-0104;DOS-0104;Intervention 104;;planned;2026-09-24T08:00:00;2026-09-24T10:00:00;;;Pose;#2563eb;;;Import historique
INT-0105;DOS-0105;Intervention 105;Notes terrain 105;in_progress;2024-10-25T09:00:00;2024-10-25T11:00:00;2024-10-25T09:15:00;;SAV;#ea580c;;;
INT-0106;DOS-0106;Intervention 106;;completed;2025-11-26T10:00:00;2025-11-26T12:00:00;2025-11-26T10:15:00;2025-11-26T11:45:00;Entretien;#16a34a;;;
INT-0107;DOS-0107;Intervention 107;;cancelled;2026-12-27T11:00:00;2026-12-27T13:00:00;;;Diagnostic;#7c3aed;;;
INT-0108;DOS-0108;Intervention 108;;planned;2024-01-01T12:00:00;2024-01-01T14:00:00;;;Pose;#2563eb;;;
INT-0109;DOS-0109;Intervention 109;;in_progress;2025-02-02T13:00:00;2025-02-02T15:00:00;2025-02-02T13:15:00;;SAV;#ea580c;;;
INT-0110;DOS-0110;Intervention 110;Notes terrain 110;completed;2026-03-03T14:00:00;2026-03-03T16:00:00;2026-03-03T14:15:00;2026-03-03T15:45:00;Entretien;#16a34a;;Équipe Nord;
INT-0111;DOS-0111;Intervention 111;;cancelled;2024-04-04T15:00:00;2024-04-04T17:00:00;;;Diagnostic;#7c3aed;;;
INT-0112;DOS-0112;Intervention 112;;planned;2025-05-05T08:00:00;2025-05-05T10:00:00;;;Pose;#2563eb;;;Import historique
INT-0113;DOS-0113;Intervention 113;;in_progress;2026-06-06T09:00:00;2026-06-06T11:00:00;2026-06-06T09:15:00;;SAV;#ea580c;;;
INT-0114;DOS-0114;Intervention 114;;completed;2024-07-07T10:00:00;2024-07-07T12:00:00;2024-07-07T10:15:00;2024-07-07T11:45:00;Entretien;#16a34a;;;
INT-0115;DOS-0115;Intervention 115;Notes terrain 115;cancelled;2025-08-08T11:00:00;2025-08-08T13:00:00;;;Diagnostic;#7c3aed;;;
INT-0116;DOS-0116;Intervention 116;;planned;2026-09-09T12:00:00;2026-09-09T14:00:00;;;Pose;#2563eb;;;
INT-0117;DOS-0117;Intervention 117;;in_progress;2024-10-10T13:00:00;2024-10-10T15:00:00;2024-10-10T13:15:00;;SAV;#ea580c;;;
INT-0118;DOS-0118;Intervention 118;;completed;2025-11-11T14:00:00;2025-11-11T16:00:00;2025-11-11T14:15:00;2025-11-11T15:45:00;Entretien;#16a34a;;;
INT-0119;DOS-0119;Intervention 119;;cancelled;2026-12-12T15:00:00;2026-12-12T17:00:00;;;Diagnostic;#7c3aed;;;
INT-0120;DOS-0120;Intervention 120;Notes terrain 120;planned;2024-01-13T08:00:00;2024-01-13T10:00:00;;;Pose;#2563eb;;;Import historique
INT-0121;DOS-0121;Intervention 121;;in_progress;2025-02-14T09:00:00;2025-02-14T11:00:00;2025-02-14T09:15:00;;SAV;#ea580c;;Équipe Nord;
INT-0122;DOS-0122;Intervention 122;;completed;2026-03-15T10:00:00;2026-03-15T12:00:00;2026-03-15T10:15:00;2026-03-15T11:45:00;Entretien;#16a34a;;;
INT-0123;DOS-0123;Intervention 123;;cancelled;2024-04-16T11:00:00;2024-04-16T13:00:00;;;Diagnostic;#7c3aed;;;
INT-0124;DOS-0124;Intervention 124;;planned;2025-05-17T12:00:00;2025-05-17T14:00:00;;;Pose;#2563eb;;;
INT-0125;DOS-0125;Intervention 125;Notes terrain 125;in_progress;2026-06-18T13:00:00;2026-06-18T15:00:00;2026-06-18T13:15:00;;SAV;#ea580c;;;
INT-0126;DOS-0126;Intervention 126;;completed;2024-07-19T14:00:00;2024-07-19T16:00:00;2024-07-19T14:15:00;2024-07-19T15:45:00;Entretien;#16a34a;;;
INT-0127;DOS-0127;Intervention 127;;cancelled;2025-08-20T15:00:00;2025-08-20T17:00:00;;;Diagnostic;#7c3aed;;;
INT-0128;DOS-0128;Intervention 128;;planned;2026-09-21T08:00:00;2026-09-21T10:00:00;;;Pose;#2563eb;;;Import historique
INT-0129;DOS-0129;Intervention 129;;in_progress;2024-10-22T09:00:00;2024-10-22T11:00:00;2024-10-22T09:15:00;;SAV;#ea580c;;;
INT-0130;DOS-0130;Intervention 130;Notes terrain 130;completed;2025-11-23T10:00:00;2025-11-23T12:00:00;2025-11-23T10:15:00;2025-11-23T11:45:00;Entretien;#16a34a;;;
INT-0131;DOS-0131;Intervention 131;;cancelled;2026-12-24T11:00:00;2026-12-24T13:00:00;;;Diagnostic;#7c3aed;;;
INT-0132;DOS-0132;Intervention 132;;planned;2024-01-25T12:00:00;2024-01-25T14:00:00;;;Pose;#2563eb;;Équipe Nord;
INT-0133;DOS-0133;Intervention 133;;in_progress;2025-02-26T13:00:00;2025-02-26T15:00:00;2025-02-26T13:15:00;;SAV;#ea580c;;;
INT-0134;DOS-0134;Intervention 134;;completed;2026-03-27T14:00:00;2026-03-27T16:00:00;2026-03-27T14:15:00;2026-03-27T15:45:00;Entretien;#16a34a;;;
INT-0135;DOS-0135;Intervention 135;Notes terrain 135;cancelled;2024-04-01T15:00:00;2024-04-01T17:00:00;;;Diagnostic;#7c3aed;;;
INT-0136;DOS-0136;Intervention 136;;planned;2025-05-02T08:00:00;2025-05-02T10:00:00;;;Pose;#2563eb;;;Import historique
INT-0137;DOS-0137;Intervention 137;;in_progress;2026-06-03T09:00:00;2026-06-03T11:00:00;2026-06-03T09:15:00;;SAV;#ea580c;;;
INT-0138;DOS-0138;Intervention 138;;completed;2024-07-04T10:00:00;2024-07-04T12:00:00;2024-07-04T10:15:00;2024-07-04T11:45:00;Entretien;#16a34a;;;
INT-0139;DOS-0139;Intervention 139;;cancelled;2025-08-05T11:00:00;2025-08-05T13:00:00;;;Diagnostic;#7c3aed;;;
INT-0140;DOS-0140;Intervention 140;Notes terrain 140;planned;2026-09-06T12:00:00;2026-09-06T14:00:00;;;Pose;#2563eb;;;
INT-0141;DOS-0141;Intervention 141;;in_progress;2024-10-07T13:00:00;2024-10-07T15:00:00;2024-10-07T13:15:00;;SAV;#ea580c;;;
INT-0142;DOS-0142;Intervention 142;;completed;2025-11-08T14:00:00;2025-11-08T16:00:00;2025-11-08T14:15:00;2025-11-08T15:45:00;Entretien;#16a34a;;;
INT-0143;DOS-0143;Intervention 143;;cancelled;2026-12-09T15:00:00;2026-12-09T17:00:00;;;Diagnostic;#7c3aed;;Équipe Nord;
INT-0144;DOS-0144;Intervention 144;;planned;2024-01-10T08:00:00;2024-01-10T10:00:00;;;Pose;#2563eb;;;Import historique
INT-0145;DOS-0145;Intervention 145;Notes terrain 145;in_progress;2025-02-11T09:00:00;2025-02-11T11:00:00;2025-02-11T09:15:00;;SAV;#ea580c;;;
INT-0146;DOS-0146;Intervention 146;;completed;2026-03-12T10:00:00;2026-03-12T12:00:00;2026-03-12T10:15:00;2026-03-12T11:45:00;Entretien;#16a34a;;;
INT-0147;DOS-0147;Intervention 147;;cancelled;2024-04-13T11:00:00;2024-04-13T13:00:00;;;Diagnostic;#7c3aed;;;
INT-0148;DOS-0148;Intervention 148;;planned;2025-05-14T12:00:00;2025-05-14T14:00:00;;;Pose;#2563eb;;;
INT-0149;DOS-0149;Intervention 149;;in_progress;2026-06-15T13:00:00;2026-06-15T15:00:00;2026-06-15T13:15:00;;SAV;#ea580c;;;
INT-0150;DOS-0150;Intervention 150;Notes terrain 150;completed;2024-07-16T14:00:00;2024-07-16T16:00:00;2024-07-16T14:15:00;2024-07-16T15:45:00;Entretien;#16a34a;;;
INT-0151;DOS-0151;Intervention 151;;cancelled;2025-08-17T15:00:00;2025-08-17T17:00:00;;;Diagnostic;#7c3aed;;;
INT-0152;DOS-0152;Intervention 152;;planned;2026-09-18T08:00:00;2026-09-18T10:00:00;;;Pose;#2563eb;;;Import historique
INT-0153;DOS-0153;Intervention 153;;in_progress;2024-10-19T09:00:00;2024-10-19T11:00:00;2024-10-19T09:15:00;;SAV;#ea580c;;;
INT-0154;DOS-0154;Intervention 154;;completed;2025-11-20T10:00:00;2025-11-20T12:00:00;2025-11-20T10:15:00;2025-11-20T11:45:00;Entretien;#16a34a;;Équipe Nord;
INT-0155;DOS-0155;Intervention 155;Notes terrain 155;cancelled;2026-12-21T11:00:00;2026-12-21T13:00:00;;;Diagnostic;#7c3aed;;;
INT-0156;DOS-0156;Intervention 156;;planned;2024-01-22T12:00:00;2024-01-22T14:00:00;;;Pose;#2563eb;;;
INT-0157;DOS-0157;Intervention 157;;in_progress;2025-02-23T13:00:00;2025-02-23T15:00:00;2025-02-23T13:15:00;;SAV;#ea580c;;;
INT-0158;DOS-0158;Intervention 158;;completed;2026-03-24T14:00:00;2026-03-24T16:00:00;2026-03-24T14:15:00;2026-03-24T15:45:00;Entretien;#16a34a;;;
INT-0159;DOS-0159;Intervention 159;;cancelled;2024-04-25T15:00:00;2024-04-25T17:00:00;;;Diagnostic;#7c3aed;;;
INT-0160;DOS-0160;Intervention 160;Notes terrain 160;planned;2025-05-26T08:00:00;2025-05-26T10:00:00;;;Pose;#2563eb;;;Import historique
INT-0161;DOS-0161;Intervention 161;;in_progress;2026-06-27T09:00:00;2026-06-27T11:00:00;2026-06-27T09:15:00;;SAV;#ea580c;;;
INT-0162;DOS-0162;Intervention 162;;completed;2024-07-01T10:00:00;2024-07-01T12:00:00;2024-07-01T10:15:00;2024-07-01T11:45:00;Entretien;#16a34a;;;
INT-0163;DOS-0163;Intervention 163;;cancelled;2025-08-02T11:00:00;2025-08-02T13:00:00;;;Diagnostic;#7c3aed;;;
INT-0164;DOS-0164;Intervention 164;;planned;2026-09-03T12:00:00;2026-09-03T14:00:00;;;Pose;#2563eb;;;
INT-0165;DOS-0165;Intervention 165;Notes terrain 165;in_progress;2024-10-04T13:00:00;2024-10-04T15:00:00;2024-10-04T13:15:00;;SAV;#ea580c;;Équipe Nord;
INT-0166;DOS-0166;Intervention 166;;completed;2025-11-05T14:00:00;2025-11-05T16:00:00;2025-11-05T14:15:00;2025-11-05T15:45:00;Entretien;#16a34a;;;
INT-0167;DOS-0167;Intervention 167;;cancelled;2026-12-06T15:00:00;2026-12-06T17:00:00;;;Diagnostic;#7c3aed;;;
INT-0168;DOS-0168;Intervention 168;;planned;2024-01-07T08:00:00;2024-01-07T10:00:00;;;Pose;#2563eb;;;Import historique
INT-0169;DOS-0169;Intervention 169;;in_progress;2025-02-08T09:00:00;2025-02-08T11:00:00;2025-02-08T09:15:00;;SAV;#ea580c;;;
INT-0170;DOS-0170;Intervention 170;Notes terrain 170;completed;2026-03-09T10:00:00;2026-03-09T12:00:00;2026-03-09T10:15:00;2026-03-09T11:45:00;Entretien;#16a34a;;;
INT-0171;DOS-0171;Intervention 171;;cancelled;2024-04-10T11:00:00;2024-04-10T13:00:00;;;Diagnostic;#7c3aed;;;
INT-0172;DOS-0172;Intervention 172;;planned;2025-05-11T12:00:00;2025-05-11T14:00:00;;;Pose;#2563eb;;;
INT-0173;DOS-0173;Intervention 173;;in_progress;2026-06-12T13:00:00;2026-06-12T15:00:00;2026-06-12T13:15:00;;SAV;#ea580c;;;
INT-0174;DOS-0174;Intervention 174;;completed;2024-07-13T14:00:00;2024-07-13T16:00:00;2024-07-13T14:15:00;2024-07-13T15:45:00;Entretien;#16a34a;;;
INT-0175;DOS-0175;Intervention 175;Notes terrain 175;cancelled;2025-08-14T15:00:00;2025-08-14T17:00:00;;;Diagnostic;#7c3aed;;;
