externalId;name;reference;description;unit;defaultPrice;defaultTvaRate
PREST-0082;Diagnostic 82;PREST-REF-0082;;heure;27.50;10
PREST-0083;Mise en service 83;PREST-REF-0083;;heure;28.75;5.5
PREST-0084;Entretien annuel 84;PREST-REF-0084;Prestation import 84;forfait;30.00;0
PREST-0085;Remplacement pièce 85;PREST-REF-0085;;heure;31.25;20
PREST-0086;Nettoyage 86;PREST-REF-0086;;heure;32.50;20
PREST-0087;Réglage 87;PREST-REF-0087;;forfait;33.75;10
PREST-0088;Formation client 88;PREST-REF-0088;;heure;35.00;5.5
PREST-0089;Urgence weekend 89;PREST-REF-0089;;heure;36.25;0
PREST-0090;Main d'œuvre 90;PREST-REF-0090;Prestation import 90;forfait;37.50;20
PREST-0091;Déplacement 91;PREST-REF-0091;;heure;38.75;20
PREST-0092;Diagnostic 92;PREST-REF-0092;;heure;40.00;10
PREST-0093;Mise en service 93;PREST-REF-0093;;forfait;41.25;5.5
PREST-0094;Entretien annuel 94;PREST-REF-0094;;heure;42.50;0
PREST-0095;Remplacement pièce 95;PREST-REF-0095;;heure;43.75;20
PREST-0096;Nettoyage 96;PREST-REF-0096;Prestation import 96;forfait;45.00;20
PREST-0097;Réglage 97;PREST-REF-0097;;heure;46.25;10
PREST-0098;Formation client 98;PREST-REF-0098;;heure;47.50;5.5
PREST-0099;Urgence weekend 99;PREST-REF-0099;;forfait;48.75;0
PREST-0100;Main d'œuvre 100;PREST-REF-0100;;heure;50.00;20
PREST-0101;Déplacement 101;PREST-REF-0101;;heure;51.25;20
PREST-0102;Diagnostic 102;PREST-REF-0102;Prestation import 102;forfait;52.50;10
PREST-0103;Mise en service 103;PREST-REF-0103;;heure;53.75;5.5
PREST-0104;Entretien annuel 104;PREST-REF-0104;;heure;55.00;0
PREST-0105;Remplacement pièce 105;PREST-REF-0105;;forfait;56.25;20
PREST-0106;Nettoyage 106;PREST-REF-0106;;heure;57.50;20
PREST-0107;Réglage 107;PREST-REF-0107;;heure;58.75;10
PREST-0108;Formation client 108;PREST-REF-0108;Prestation import 108;forfait;60.00;5.5
PREST-0109;Urgence weekend 109;PREST-REF-0109;;heure;61.25;0
PREST-0110;Main d'œuvre 110;PREST-REF-0110;;heure;62.50;20
PREST-0111;Déplacement 111;PREST-REF-0111;;forfait;63.75;20
PREST-0112;Diagnostic 112;PREST-REF-0112;;heure;65.00;10
PREST-0113;Mise en service 113;PREST-REF-0113;;heure;66.25;5.5
PREST-0114;Entretien annuel 114;PREST-REF-0114;Prestation import 114;forfait;67.50;0
PREST-0115;Remplacement pièce 115;PREST-REF-0115;;heure;68.75;20
PREST-0116;Nettoyage 116;PREST-REF-0116;;heure;70.00;20
PREST-0117;Réglage 117;PREST-REF-0117;;forfait;71.25;10
PREST-0118;Formation client 118;PREST-REF-0118;;heure;72.50;5.5
PREST-0119;Urgence weekend 119;PREST-REF-0119;;heure;73.75;0
PREST-0120;Main d'œuvre 120;PREST-REF-0120;Prestation import 120;forfait;75.00;20
PREST-0121;Déplacement 121;PREST-REF-0121;;heure;76.25;20
PREST-0122;Diagnostic 122;PREST-REF-0122;;heure;77.50;10
PREST-0123;Mise en service 123;PREST-REF-0123;;forfait;78.75;5.5
PREST-0124;Entretien annuel 124;PREST-REF-0124;;heure;80.00;0
PREST-0125;Remplacement pièce 125;PREST-REF-0125;;heure;81.25;20
PREST-0126;Nettoyage 126;PREST-REF-0126;Prestation import 126;forfait;82.50;20
PREST-0127;Réglage 127;PREST-REF-0127;;heure;83.75;10
PREST-0128;Formation client 128;PREST-REF-0128;;heure;85.00;5.5
PREST-0129;Urgence weekend 129;PREST-REF-0129;;forfait;86.25;0
PREST-0130;Main d'œuvre 130;PREST-REF-0130;;heure;87.50;20
PREST-0131;Déplacement 131;PREST-REF-0131;;heure;88.75;20
PREST-0132;Diagnostic 132;PREST-REF-0132;Prestation import 132;forfait;90.00;10
PREST-0133;Mise en service 133;PREST-REF-0133;;heure;91.25;5.5
PREST-0134;Entretien annuel 134;PREST-REF-0134;;heure;92.50;0
PREST-0135;Remplacement pièce 135;PREST-REF-0135;;forfait;93.75;20
PREST-0136;Nettoyage 136;PREST-REF-0136;;heure;95.00;20
PREST-0137;Réglage 137;PREST-REF-0137;;heure;96.25;10
PREST-0138;Formation client 138;PREST-REF-0138;Prestation import 138;forfait;97.50;5.5
PREST-0139;Urgence weekend 139;PREST-REF-0139;;heure;98.75;0
PREST-0140;Main d'œuvre 140;PREST-REF-0140;;heure;100.00;20
PREST-0141;Déplacement 141;PREST-REF-0141;;forfait;101.25;20
PREST-0142;Diagnostic 142;PREST-REF-0142;;heure;102.50;10
PREST-0143;Mise en service 143;PREST-REF-0143;;heure;103.75;5.5
PREST-0144;Entretien annuel 144;PREST-REF-0144;Prestation import 144;forfait;105.00;0
PREST-0145;Remplacement pièce 145;PREST-REF-0145;;heure;106.25;20
PREST-0146;Nettoyage 146;PREST-REF-0146;;heure;107.50;20
PREST-0147;Réglage 147;PREST-REF-0147;;forfait;108.75;10
PREST-0148;Formation client 148;PREST-REF-0148;;heure;110.00;5.5
PREST-0149;Urgence weekend 149;PREST-REF-0149;;heure;111.25;0
PREST-0150;Main d'œuvre 150;PREST-REF-0150;Prestation import 150;forfait;112.50;20
PREST-0151;Déplacement 151;PREST-REF-0151;;heure;113.75;20
PREST-0152;Diagnostic 152;PREST-REF-0152;;heure;115.00;10
PREST-0153;Mise en service 153;PREST-REF-0153;;forfait;116.25;5.5
PREST-0154;Entretien annuel 154;PREST-REF-0154;;heure;117.50;0
PREST-0155;Remplacement pièce 155;PREST-REF-0155;;heure;118.75;20
PREST-0156;Nettoyage 156;PREST-REF-0156;Prestation import 156;forfait;120.00;20
PREST-0157;Réglage 157;PREST-REF-0157;;heure;121.25;10
PREST-0158;Formation client 158;PREST-REF-0158;;heure;122.50;5.5
PREST-0159;Urgence weekend 159;PREST-REF-0159;;forfait;123.75;0
PREST-0160;Main d'œuvre 160;PREST-REF-0160;;heure;25.00;20
PREST-0161;Déplacement 161;PREST-REF-0161;;heure;26.25;20
PREST-0162;Diagnostic 162;PREST-REF-0162;Prestation import 162;forfait;27.50;10
PREST-0163;Mise en service 163;PREST-REF-0163;;heure;28.75;5.5
PREST-0164;Entretien annuel 164;PREST-REF-0164;;heure;30.00;0
PREST-0165;Remplacement pièce 165;PREST-REF-0165;;forfait;31.25;20
PREST-0166;Nettoyage 166;PREST-REF-0166;;heure;32.50;20
PREST-0167;Réglage 167;PREST-REF-0167;;heure;33.75;10
PREST-0168;Formation client 168;PREST-REF-0168;Prestation import 168;forfait;35.00;5.5
PREST-0169;Urgence weekend 169;PREST-REF-0169;;heure;36.25;0
PREST-0170;Main d'œuvre 170;PREST-REF-0170;;heure;37.50;20
PREST-0171;Déplacement 171;PREST-REF-0171;;forfait;38.75;20
PREST-0172;Diagnostic 172;PREST-REF-0172;;heure;40.00;10
PREST-0173;Mise en service 173;PREST-REF-0173;;heure;41.25;5.5
PREST-0174;Entretien annuel 174;PREST-REF-0174;Prestation import 174;forfait;42.50;0
PREST-0175;Remplacement pièce 175;PREST-REF-0175;;heure;43.75;20
PREST-0176;Nettoyage 176;PREST-REF-0176;;heure;45.00;20
PREST-0177;Réglage 177;PREST-REF-0177;;forfait;46.25;10
PREST-0178;Formation client 178;PREST-REF-0178;;heure;47.50;5.5
PREST-0179;Urgence weekend 179;PREST-REF-0179;;heure;48.75;0
PREST-0180;Main d'œuvre 180;PREST-REF-0180;Prestation import 180;forfait;50.00;20
PREST-0181;Déplacement 181;PREST-REF-0181;;heure;51.25;20
PREST-0182;Diagnostic 182;PREST-REF-0182;;heure;52.50;10
PREST-0183;Mise en service 183;PREST-REF-0183;;forfait;53.75;5.5
PREST-0184;Entretien annuel 184;PREST-REF-0184;;heure;55.00;0
PREST-0185;Remplacement pièce 185;PREST-REF-0185;;heure;56.25;20
PREST-0186;Nettoyage 186;PREST-REF-0186;Prestation import 186;forfait;57.50;20
PREST-0187;Réglage 187;PREST-REF-0187;;heure;58.75;10
PREST-0188;Formation client 188;PREST-REF-0188;;heure;60.00;5.5
PREST-0189;Urgence weekend 189;PREST-REF-0189;;forfait;61.25;0
PREST-0190;Main d'œuvre 190;PREST-REF-0190;;heure;62.50;20
PREST-0191;Déplacement 191;PREST-REF-0191;;heure;63.75;20
PREST-0192;Diagnostic 192;PREST-REF-0192;Prestation import 192;forfait;65.00;10
PREST-0193;Mise en service 193;PREST-REF-0193;;heure;66.25;5.5
PREST-0194;Entretien annuel 194;PREST-REF-0194;;heure;67.50;0
PREST-0195;Remplacement pièce 195;PREST-REF-0195;;forfait;68.75;20
PREST-0196;Nettoyage 196;PREST-REF-0196;;heure;70.00;20
PREST-0197;Réglage 197;PREST-REF-0197;;heure;71.25;10
PREST-0198;Formation client 198;PREST-REF-0198;Prestation import 198;forfait;72.50;5.5
PREST-0199;Urgence weekend 199;PREST-REF-0199;;heure;73.75;0
PREST-0200;Main d'œuvre 200;PREST-REF-0200;;heure;75.00;20
PREST-0201;Déplacement 201;PREST-REF-0201;;forfait;76.25;20
PREST-0202;Diagnostic 202;PREST-REF-0202;;heure;77.50;10
PREST-0203;Mise en service 203;PREST-REF-0203;;heure;78.75;5.5
PREST-0204;Entretien annuel 204;PREST-REF-0204;Prestation import 204;forfait;80.00;0
PREST-0205;Remplacement pièce 205;PREST-REF-0205;;heure;81.25;20
PREST-0206;Nettoyage 206;PREST-REF-0206;;heure;82.50;20
PREST-0207;Réglage 207;PREST-REF-0207;;forfait;83.75;10
PREST-0208;Formation client 208;PREST-REF-0208;;heure;85.00;5.5
PREST-0209;Urgence weekend 209;PREST-REF-0209;;heure;86.25;0
PREST-0210;Main d'œuvre 210;PREST-REF-0210;Prestation import 210;forfait;87.50;20
PREST-0211;Déplacement 211;PREST-REF-0211;;heure;88.75;20
PREST-0212;Diagnostic 212;PREST-REF-0212;;heure;90.00;10
PREST-0213;Mise en service 213;PREST-REF-0213;;forfait;91.25;5.5
PREST-0214;Entretien annuel 214;PREST-REF-0214;;heure;92.50;0
PREST-0215;Remplacement pièce 215;PREST-REF-0215;;heure;93.75;20
PREST-0216;Nettoyage 216;PREST-REF-0216;Prestation import 216;forfait;95.00;20
PREST-0217;Réglage 217;PREST-REF-0217;;heure;96.25;10
PREST-0218;Formation client 218;PREST-REF-0218;;heure;97.50;5.5
PREST-0219;Urgence weekend 219;PREST-REF-0219;;forfait;98.75;0
PREST-0220;Main d'œuvre 220;PREST-REF-0220;;heure;100.00;20
PREST-0221;Déplacement 221;PREST-REF-0221;;heure;101.25;20
PREST-0222;Diagnostic 222;PREST-REF-0222;Prestation import 222;forfait;102.50;10
PREST-0223;Mise en service 223;PREST-REF-0223;;heure;103.75;5.5
PREST-0224;Entretien annuel 224;PREST-REF-0224;;heure;105.00;0
PREST-0225;Remplacement pièce 225;PREST-REF-0225;;forfait;106.25;20
PREST-0226;Nettoyage 226;PREST-REF-0226;;heure;107.50;20
PREST-0227;Réglage 227;PREST-REF-0227;;heure;108.75;10
PREST-0228;Formation client 228;PREST-REF-0228;Prestation import 228;forfait;110.00;5.5
PREST-0229;Urgence weekend 229;PREST-REF-0229;;heure;111.25;0
PREST-0230;Main d'œuvre 230;PREST-REF-0230;;heure;112.50;20
PREST-0231;Déplacement 231;PREST-REF-0231;;forfait;113.75;20
PREST-0232;Diagnostic 232;PREST-REF-0232;;heure;115.00;10
PREST-0233;Mise en service 233;PREST-REF-0233;;heure;116.25;5.5
PREST-0234;Entretien annuel 234;PREST-REF-0234;Prestation import 234;forfait;117.50;0
PREST-0235;Remplacement pièce 235;PREST-REF-0235;;heure;118.75;20
PREST-0236;Nettoyage 236;PREST-REF-0236;;heure;120.00;20
PREST-0237;Réglage 237;PREST-REF-0237;;forfait;121.25;10
PREST-0238;Formation client 238;PREST-REF-0238;;heure;122.50;5.5
PREST-0239;Urgence weekend 239;PREST-REF-0239;;heure;123.75;0
PREST-0240;Main d'œuvre 240;PREST-REF-0240;Prestation import 240;forfait;25.00;20
PREST-0241;Déplacement 241;PREST-REF-0241;;heure;26.25;20
PREST-0242;Diagnostic 242;PREST-REF-0242;;heure;27.50;10
PREST-0243;Mise en service 243;PREST-REF-0243;;forfait;28.75;5.5
PREST-0244;Entretien annuel 244;PREST-REF-0244;;heure;30.00;0
PREST-0245;Remplacement pièce 245;PREST-REF-0245;;heure;31.25;20
PREST-0246;Nettoyage 246;PREST-REF-0246;Prestation import 246;forfait;32.50;20
PREST-0247;Réglage 247;PREST-REF-0247;;heure;33.75;10
PREST-0248;Formation client 248;PREST-REF-0248;;heure;35.00;5.5
PREST-0249;Urgence weekend 249;PREST-REF-0249;;forfait;36.25;0
PREST-0250;Main d'œuvre 250;PREST-REF-0250;;heure;37.50;20
PREST-0251;Déplacement 251;PREST-REF-0251;;heure;38.75;20
PREST-0252;Diagnostic 252;PREST-REF-0252;Prestation import 252;forfait;40.00;10
PREST-0253;Mise en service 253;PREST-REF-0253;;heure;41.25;5.5
PREST-0254;Entretien annuel 254;PREST-REF-0254;;heure;42.50;0
PREST-0255;Remplacement pièce 255;PREST-REF-0255;;forfait;43.75;20
PREST-0256;Nettoyage 256;PREST-REF-0256;;heure;45.00;20
PREST-0257;Réglage 257;PREST-REF-0257;;heure;46.25;10
PREST-0258;Formation client 258;PREST-REF-0258;Prestation import 258;forfait;47.50;5.5
PREST-0259;Urgence weekend 259;PREST-REF-0259;;heure;48.75;0
PREST-0260;Main d'œuvre 260;PREST-REF-0260;;heure;50.00;20
PREST-0261;Déplacement 261;PREST-REF-0261;;forfait;51.25;20
PREST-0262;Diagnostic 262;PREST-REF-0262;;heure;52.50;10
PREST-0263;Mise en service 263;PREST-REF-0263;;heure;53.75;5.5
PREST-0264;Entretien annuel 264;PREST-REF-0264;Prestation import 264;forfait;55.00;0
PREST-0265;Remplacement pièce 265;PREST-REF-0265;;heure;56.25;20
PREST-0266;Nettoyage 266;PREST-REF-0266;;heure;57.50;20
PREST-0267;Réglage 267;PREST-REF-0267;;forfait;58.75;10
PREST-0268;Formation client 268;PREST-REF-0268;;heure;60.00;5.5
PREST-0269;Urgence weekend 269;PREST-REF-0269;;heure;61.25;0
PREST-0270;Main d'œuvre 270;PREST-REF-0270;Prestation import 270;forfait;62.50;20
PREST-0271;Déplacement 271;PREST-REF-0271;;heure;63.75;20
PREST-0272;Diagnostic 272;PREST-REF-0272;;heure;65.00;10
PREST-0273;Mise en service 273;PREST-REF-0273;;forfait;66.25;5.5
PREST-0274;Entretien annuel 274;PREST-REF-0274;;heure;67.50;0
PREST-0275;Remplacement pièce 275;PREST-REF-0275;;heure;68.75;20
PREST-0276;Nettoyage 276;PREST-REF-0276;Prestation import 276;forfait;70.00;20
PREST-0277;Réglage 277;PREST-REF-0277;;heure;71.25;10
PREST-0278;Formation client 278;PREST-REF-0278;;heure;72.50;5.5
PREST-0279;Urgence weekend 279;PREST-REF-0279;;forfait;73.75;0
PREST-0280;Main d'œuvre 280;PREST-REF-0280;;heure;75.00;20
PREST-0281;Déplacement 281;PREST-REF-0281;;heure;76.25;20
PREST-0282;Diagnostic 282;PREST-REF-0282;Prestation import 282;forfait;77.50;10
PREST-0283;Mise en service 283;PREST-REF-0283;;heure;78.75;5.5
PREST-0284;Entretien annuel 284;PREST-REF-0284;;heure;80.00;0
PREST-0285;Remplacement pièce 285;PREST-REF-0285;;forfait;81.25;20
PREST-0286;Nettoyage 286;PREST-REF-0286;;heure;82.50;20
PREST-0287;Réglage 287;PREST-REF-0287;;heure;83.75;10
PREST-0288;Formation client 288;PREST-REF-0288;Prestation import 288;forfait;85.00;5.5
PREST-0289;Urgence weekend 289;PREST-REF-0289;;heure;86.25;0
PREST-0290;Main d'œuvre 290;PREST-REF-0290;;heure;87.50;20
PREST-0291;Déplacement 291;PREST-REF-0291;;forfait;88.75;20
PREST-0292;Diagnostic 292;PREST-REF-0292;;heure;90.00;10
PREST-0293;Mise en service 293;PREST-REF-0293;;heure;91.25;5.5
PREST-0294;Entretien annuel 294;PREST-REF-0294;Prestation import 294;forfait;92.50;0
PREST-0295;Remplacement pièce 295;PREST-REF-0295;;heure;93.75;20
PREST-0296;Nettoyage 296;PREST-REF-0296;;heure;95.00;20
PREST-0297;Réglage 297;PREST-REF-0297;;forfait;96.25;10
PREST-0298;Formation client 298;PREST-REF-0298;;heure;97.50;5.5
PREST-0299;Urgence weekend 299;PREST-REF-0299;;heure;98.75;0
PREST-0300;Main d'œuvre 300;PREST-REF-0300;Prestation import 300;forfait;100.00;20
PREST-0301;Déplacement 301;PREST-REF-0301;;heure;101.25;20
PREST-0302;Diagnostic 302;PREST-REF-0302;;heure;102.50;10
PREST-0303;Mise en service 303;PREST-REF-0303;;forfait;103.75;5.5
PREST-0304;Entretien annuel 304;PREST-REF-0304;;heure;105.00;0
PREST-0305;Remplacement pièce 305;PREST-REF-0305;;heure;106.25;20
PREST-0306;Nettoyage 306;PREST-REF-0306;Prestation import 306;forfait;107.50;20
PREST-0307;Réglage 307;PREST-REF-0307;;heure;108.75;10
PREST-0308;Formation client 308;PREST-REF-0308;;heure;110.00;5.5
PREST-0309;Urgence weekend 309;PREST-REF-0309;;forfait;111.25;0
PREST-0310;Main d'œuvre 310;PREST-REF-0310;;heure;112.50;20
PREST-0311;Déplacement 311;PREST-REF-0311;;heure;113.75;20
PREST-0312;Diagnostic 312;PREST-REF-0312;Prestation import 312;forfait;115.00;10
PREST-0313;Mise en service 313;PREST-REF-0313;;heure;116.25;5.5
PREST-0314;Entretien annuel 314;PREST-REF-0314;;heure;117.50;0
PREST-0315;Remplacement pièce 315;PREST-REF-0315;;forfait;118.75;20
PREST-0316;Nettoyage 316;PREST-REF-0316;;heure;120.00;20
PREST-0317;Réglage 317;PREST-REF-0317;;heure;121.25;10
PREST-0318;Formation client 318;PREST-REF-0318;Prestation import 318;forfait;122.50;5.5
PREST-0319;Urgence weekend 319;PREST-REF-0319;;heure;123.75;0
PREST-0320;Main d'œuvre 320;PREST-REF-0320;;heure;25.00;20
PREST-0321;Déplacement 321;PREST-REF-0321;;forfait;26.25;20
PREST-0322;Diagnostic 322;PREST-REF-0322;;heure;27.50;10
PREST-0323;Mise en service 323;PREST-REF-0323;;heure;28.75;5.5
PREST-0324;Entretien annuel 324;PREST-REF-0324;Prestation import 324;forfait;30.00;0
PREST-0325;Remplacement pièce 325;PREST-REF-0325;;heure;31.25;20
PREST-0326;Nettoyage 326;PREST-REF-0326;;heure;32.50;20
PREST-0327;Réglage 327;PREST-REF-0327;;forfait;33.75;10
PREST-0328;Formation client 328;PREST-REF-0328;;heure;35.00;5.5
PREST-0329;Urgence weekend 329;PREST-REF-0329;;heure;36.25;0
PREST-0330;Main d'œuvre 330;PREST-REF-0330;Prestation import 330;forfait;37.50;20
PREST-0331;Déplacement 331;PREST-REF-0331;;heure;38.75;20
PREST-0332;Diagnostic 332;PREST-REF-0332;;heure;40.00;10
PREST-0333;Mise en service 333;PREST-REF-0333;;forfait;41.25;5.5
PREST-0334;Entretien annuel 334;PREST-REF-0334;;heure;42.50;0
PREST-0335;Remplacement pièce 335;PREST-REF-0335;;heure;43.75;20
PREST-0336;Nettoyage 336;PREST-REF-0336;Prestation import 336;forfait;45.00;20
PREST-0337;Réglage 337;PREST-REF-0337;;heure;46.25;10
PREST-0338;Formation client 338;PREST-REF-0338;;heure;47.50;5.5
PREST-0339;Urgence weekend 339;PREST-REF-0339;;forfait;48.75;0
PREST-0340;Main d'œuvre 340;PREST-REF-0340;;heure;50.00;20
PREST-0341;Déplacement 341;PREST-REF-0341;;heure;51.25;20
PREST-0342;Diagnostic 342;PREST-REF-0342;Prestation import 342;forfait;52.50;10
PREST-0343;Mise en service 343;PREST-REF-0343;;heure;53.75;5.5
PREST-0344;Entretien annuel 344;PREST-REF-0344;;heure;55.00;0
PREST-0345;Remplacement pièce 345;PREST-REF-0345;;forfait;56.25;20
PREST-0346;Nettoyage 346;PREST-REF-0346;;heure;57.50;20
PREST-0347;Réglage 347;PREST-REF-0347;;heure;58.75;10
PREST-0348;Formation client 348;PREST-REF-0348;Prestation import 348;forfait;60.00;5.5
PREST-0349;Urgence weekend 349;PREST-REF-0349;;heure;61.25;0
PREST-0350;Main d'œuvre 350;PREST-REF-0350;;heure;62.50;20
PREST-0351;Déplacement 351;PREST-REF-0351;;forfait;63.75;20
PREST-0352;Diagnostic 352;PREST-REF-0352;;heure;65.00;10
PREST-0353;Mise en service 353;PREST-REF-0353;;heure;66.25;5.5
PREST-0354;Entretien annuel 354;PREST-REF-0354;Prestation import 354;forfait;67.50;0
PREST-0355;Remplacement pièce 355;PREST-REF-0355;;heure;68.75;20
PREST-0356;Nettoyage 356;PREST-REF-0356;;heure;70.00;20
PREST-0357;Réglage 357;PREST-REF-0357;;forfait;71.25;10
PREST-0358;Formation client 358;PREST-REF-0358;;heure;72.50;5.5
PREST-0359;Urgence weekend 359;PREST-REF-0359;;heure;73.75;0
PREST-0360;Main d'œuvre 360;PREST-REF-0360;Prestation import 360;forfait;75.00;20
PREST-0361;Déplacement 361;PREST-REF-0361;;heure;76.25;20
PREST-0362;Diagnostic 362;PREST-REF-0362;;heure;77.50;10
PREST-0363;Mise en service 363;PREST-REF-0363;;forfait;78.75;5.5
PREST-0364;Entretien annuel 364;PREST-REF-0364;;heure;80.00;0
PREST-0365;Remplacement pièce 365;PREST-REF-0365;;heure;81.25;20
PREST-0366;Nettoyage 366;PREST-REF-0366;Prestation import 366;forfait;82.50;20
PREST-0367;Réglage 367;PREST-REF-0367;;heure;83.75;10
