externalId;reference;description;status;priority;dueDate;customerExternalId;orderGiverExternalId;siteExternalId;tags
DOS-0216;AFF-0216;;in_progress;high;;CLI-0216;DO-0216;SITE-0216;import
DOS-0217;AFF-0217;;open;medium;;CLI-0217;DO-0217;SITE-0217;
DOS-0218;AFF-0218;;in_progress;medium;;CLI-0218;DO-0218;SITE-0218;import
DOS-0219;AFF-0219;;open;high;;CLI-0219;DO-0219;SITE-0219;
DOS-0220;AFF-0220;;in_progress;medium;;CLI-0220;DO-0220;SITE-0220;import
DOS-0221;AFF-0221;;open;medium;;CLI-0221;DO-0221;SITE-0221;
DOS-0222;AFF-0222;;in_progress;high;;CLI-0222;DO-0222;SITE-0222;import
DOS-0223;AFF-0223;;open;medium;;CLI-0223;DO-0223;SITE-0223;
DOS-0224;AFF-0224;;in_progress;medium;;CLI-0224;DO-0224;SITE-0224;import
DOS-0225;AFF-0225;;open;high;;CLI-0225;DO-0225;SITE-0225;
DOS-0226;AFF-0226;;in_progress;medium;;CLI-0226;DO-0226;SITE-0226;import
DOS-0227;AFF-0227;;open;medium;;CLI-0227;DO-0227;SITE-0227;
DOS-0228;AFF-0228;;in_progress;high;;CLI-0228;DO-0228;SITE-0228;import
DOS-0229;AFF-0229;;open;medium;;CLI-0229;DO-0229;SITE-0229;
DOS-0230;AFF-0230;;in_progress;medium;;CLI-0230;DO-0230;SITE-0230;import
DOS-0231;AFF-0231;;open;high;;CLI-0231;DO-0231;SITE-0231;
DOS-0232;AFF-0232;;in_progress;medium;;CLI-0232;DO-0232;SITE-0232;import
DOS-0233;AFF-0233;;open;medium;;CLI-0233;DO-0233;SITE-0233;
DOS-0234;AFF-0234;;in_progress;high;;CLI-0234;DO-0234;SITE-0234;import
DOS-0235;AFF-0235;;open;medium;;CLI-0235;DO-0235;SITE-0235;
DOS-0236;AFF-0236;;in_progress;medium;;CLI-0236;DO-0236;SITE-0236;import
DOS-0237;AFF-0237;;open;high;;CLI-0237;DO-0237;SITE-0237;
DOS-0238;AFF-0238;;in_progress;medium;;CLI-0238;DO-0238;SITE-0238;import
DOS-0239;AFF-0239;;open;medium;;CLI-0239;DO-0239;SITE-0239;
DOS-0240;AFF-0240;;in_progress;high;;CLI-0240;DO-0240;SITE-0240;import
DOS-0241;AFF-0241;;open;medium;;CLI-0241;DO-0241;SITE-0241;
DOS-0242;AFF-0242;;in_progress;medium;;CLI-0242;DO-0242;SITE-0242;import
DOS-0243;AFF-0243;;open;high;;CLI-0243;DO-0243;SITE-0243;
DOS-0244;AFF-0244;;in_progress;medium;;CLI-0244;DO-0244;SITE-0244;import
DOS-0245;AFF-0245;;open;medium;;CLI-0245;DO-0245;SITE-0245;
DOS-0246;AFF-0246;;in_progress;high;;CLI-0246;DO-0246;SITE-0246;import
DOS-0247;AFF-0247;;open;medium;;CLI-0247;DO-0247;SITE-0247;
DOS-0248;AFF-0248;;in_progress;medium;;CLI-0248;DO-0248;SITE-0248;import
DOS-0249;AFF-0249;;open;high;;CLI-0249;DO-0249;SITE-0249;
DOS-0250;AFF-0250;;in_progress;medium;;CLI-0250;DO-0250;SITE-0250;import
DOS-0251;AFF-0251;;open;medium;;CLI-0251;DO-0251;SITE-0251;
DOS-0252;AFF-0252;;in_progress;high;;CLI-0252;DO-0252;SITE-0252;import
DOS-0253;AFF-0253;;open;medium;;CLI-0253;DO-0253;SITE-0253;
DOS-0254;AFF-0254;;in_progress;medium;;CLI-0254;DO-0254;SITE-0254;import
DOS-0255;AFF-0255;;open;high;;CLI-0255;DO-0255;SITE-0255;
DOS-0256;AFF-0256;;in_progress;medium;;CLI-0256;DO-0256;SITE-0256;import
DOS-0257;AFF-0257;;open;medium;;CLI-0257;DO-0257;SITE-0257;
DOS-0258;AFF-0258;;in_progress;high;;CLI-0258;DO-0258;SITE-0258;import
DOS-0259;AFF-0259;;open;medium;;CLI-0259;DO-0259;SITE-0259;
DOS-0260;AFF-0260;;in_progress;medium;;CLI-0260;DO-0260;SITE-0260;import
DOS-0261;AFF-0261;;open;high;;CLI-0261;DO-0261;SITE-0261;
DOS-0262;AFF-0262;;in_progress;medium;;CLI-0262;DO-0262;SITE-0262;import
DOS-0263;AFF-0263;;open;medium;;CLI-0263;DO-0263;SITE-0263;
DOS-0264;AFF-0264;;in_progress;high;;CLI-0264;DO-0264;SITE-0264;import
DOS-0265;AFF-0265;;open;medium;;CLI-0265;DO-0265;SITE-0265;
DOS-0266;AFF-0266;;in_progress;medium;;CLI-0266;DO-0266;SITE-0266;import
DOS-0267;AFF-0267;;open;high;;CLI-0267;DO-0267;SITE-0267;
DOS-0268;AFF-0268;;in_progress;medium;;CLI-0268;DO-0268;SITE-0268;import
DOS-0269;AFF-0269;;open;medium;;CLI-0269;DO-0269;SITE-0269;
DOS-0270;AFF-0270;;in_progress;high;;CLI-0270;DO-0270;SITE-0270;import
DOS-0271;AFF-0271;;open;medium;;CLI-0271;DO-0271;SITE-0271;
DOS-0272;AFF-0272;;in_progress;medium;;CLI-0272;DO-0272;SITE-0272;import
DOS-0273;AFF-0273;;open;high;;CLI-0273;DO-0273;SITE-0273;
DOS-0274;AFF-0274;;in_progress;medium;;CLI-0274;DO-0274;SITE-0274;import
DOS-0275;AFF-0275;;open;medium;;CLI-0275;DO-0275;SITE-0275;
DOS-0276;AFF-0276;;in_progress;high;;CLI-0276;DO-0276;SITE-0276;import
DOS-0277;AFF-0277;;open;medium;;CLI-0277;DO-0277;SITE-0277;
DOS-0278;AFF-0278;;in_progress;medium;;CLI-0278;DO-0278;SITE-0278;import
DOS-0279;AFF-0279;;open;high;;CLI-0279;DO-0279;SITE-0279;
DOS-0280;AFF-0280;;in_progress;medium;;CLI-0280;DO-0280;SITE-0280;import
DOS-0281;AFF-0281;;open;medium;;CLI-0281;DO-0281;SITE-0281;
DOS-0282;AFF-0282;;in_progress;high;;CLI-0282;DO-0282;SITE-0282;import
DOS-0283;AFF-0283;;open;medium;;CLI-0283;DO-0283;SITE-0283;
DOS-0284;AFF-0284;;in_progress;medium;;CLI-0284;DO-0284;SITE-0284;import
DOS-0285;AFF-0285;;open;high;;CLI-0285;DO-0285;SITE-0285;
DOS-0286;AFF-0286;;in_progress;medium;;CLI-0286;DO-0286;SITE-0286;import
DOS-0287;AFF-0287;;open;medium;;CLI-0287;DO-0287;SITE-0287;
DOS-0288;AFF-0288;;in_progress;high;;CLI-0288;DO-0288;SITE-0288;import
DOS-0289;AFF-0289;;open;medium;;CLI-0289;DO-0289;SITE-0289;
DOS-0290;AFF-0290;;in_progress;medium;;CLI-0290;DO-0290;SITE-0290;import
DOS-0291;AFF-0291;;open;high;;CLI-0291;DO-0291;SITE-0291;
DOS-0292;AFF-0292;;in_progress;medium;;CLI-0292;DO-0292;SITE-0292;import
DOS-0293;AFF-0293;;open;medium;;CLI-0293;DO-0293;SITE-0293;
DOS-0294;AFF-0294;;in_progress;high;;CLI-0294;DO-0294;SITE-0294;import
DOS-0295;AFF-0295;;open;medium;;CLI-0295;DO-0295;SITE-0295;
DOS-0296;AFF-0296;;in_progress;medium;;CLI-0296;DO-0296;SITE-0296;import
DOS-0297;AFF-0297;;open;high;;CLI-0297;DO-0297;SITE-0297;
DOS-0298;AFF-0298;;in_progress;medium;;CLI-0298;DO-0298;SITE-0298;import
DOS-0299;AFF-0299;;open;medium;;CLI-0299;DO-0299;SITE-0299;
DOS-0300;AFF-0300;;in_progress;high;;CLI-0300;DO-0300;SITE-0300;import
DOS-0301;AFF-0301;;open;medium;;CLI-0301;DO-0301;SITE-0301;
DOS-0302;AFF-0302;;in_progress;medium;;CLI-0302;DO-0302;SITE-0302;import
DOS-0303;AFF-0303;;open;high;;CLI-0303;DO-0303;SITE-0303;
DOS-0304;AFF-0304;;in_progress;medium;;CLI-0304;DO-0304;SITE-0304;import
DOS-0305;AFF-0305;;open;medium;;CLI-0305;DO-0305;SITE-0305;
DOS-0306;AFF-0306;;in_progress;high;;CLI-0306;DO-0306;SITE-0306;import
DOS-0307;AFF-0307;;open;medium;;CLI-0307;DO-0307;SITE-0307;
DOS-0308;AFF-0308;;in_progress;medium;;CLI-0308;DO-0308;SITE-0308;import
DOS-0309;AFF-0309;;open;high;;CLI-0309;DO-0309;SITE-0309;
DOS-0310;AFF-0310;;in_progress;medium;;CLI-0310;DO-0310;SITE-0310;import
DOS-0311;AFF-0311;;open;medium;;CLI-0311;DO-0311;SITE-0311;
DOS-0312;AFF-0312;;in_progress;high;;CLI-0312;DO-0312;SITE-0312;import
DOS-0313;AFF-0313;;open;medium;;CLI-0313;DO-0313;SITE-0313;
DOS-0314;AFF-0314;;in_progress;medium;;CLI-0314;DO-0314;SITE-0314;import
DOS-0315;AFF-0315;;open;high;;CLI-0315;DO-0315;SITE-0315;
DOS-0316;AFF-0316;;in_progress;medium;;CLI-0316;DO-0316;SITE-0316;import
DOS-0317;AFF-0317;;open;medium;;CLI-0317;DO-0317;SITE-0317;
DOS-0318;AFF-0318;;in_progress;high;;CLI-0318;DO-0318;SITE-0318;import
