externalId;name;reference;description;unit;defaultPrice;initialStock;reorderPoint;targetStock
ART-0290;Joint silicone 290;REF-0290;Description article 290;unité;16.80;90;18;90
ART-0291;Tuyau PVC 291;REF-0291;;mètre;17.17;91;18;91
ART-0292;Vis inox 292;REF-0292;;kg;17.54;92;18;92
ART-0293;Cable électrique 293;REF-0293;;litre;17.91;93;18;93
ART-0294;Joint torique 294;REF-0294;;boîte;18.28;94;18;94
ART-0295;Robinet thermostatique 295;REF-0295;Description article 295;unité;18.65;95;19;95
ART-0296;Collier de serrage 296;REF-0296;;mètre;19.02;96;19;96
ART-0297;Isolant laine 297;REF-0297;;kg;19.39;97;19;97
ART-0298;Peinture acrylique 298;REF-0298;;litre;19.76;98;19;98
ART-0299;Mastic 299;REF-0299;;boîte;20.13;99;19;99
ART-0300;Joint silicone 300;REF-0300;Description article 300;unité;2.00;100;20;100
ART-0301;Tuyau PVC 301;REF-0301;;mètre;2.37;101;20;101
ART-0302;Vis inox 302;REF-0302;;kg;2.74;102;20;102
ART-0303;Cable électrique 303;REF-0303;;litre;3.11;103;20;103
ART-0304;Joint torique 304;REF-0304;;boîte;3.48;104;20;104
ART-0305;Robinet thermostatique 305;REF-0305;Description article 305;unité;3.85;105;20;105
ART-0306;Collier de serrage 306;REF-0306;;mètre;4.22;106;20;106
ART-0307;Isolant laine 307;REF-0307;;kg;4.59;107;20;107
ART-0308;Peinture acrylique 308;REF-0308;;litre;4.96;108;20;108
ART-0309;Mastic 309;REF-0309;;boîte;5.33;109;20;109
ART-0310;Joint silicone 310;REF-0310;Description article 310;unité;5.70;110;20;110
ART-0311;Tuyau PVC 311;REF-0311;;mètre;6.07;111;20;111
ART-0312;Vis inox 312;REF-0312;;kg;6.44;112;20;112
ART-0313;Cable électrique 313;REF-0313;;litre;6.81;113;20;113
ART-0314;Joint torique 314;REF-0314;;boîte;7.18;114;20;114
ART-0315;Robinet thermostatique 315;REF-0315;Description article 315;unité;7.55;115;20;115
ART-0316;Collier de serrage 316;REF-0316;;mètre;7.92;116;20;116
ART-0317;Isolant laine 317;REF-0317;;kg;8.29;117;20;117
ART-0318;Peinture acrylique 318;REF-0318;;litre;8.66;118;20;118
ART-0319;Mastic 319;REF-0319;;boîte;9.03;119;20;119
ART-0320;Joint silicone 320;REF-0320;Description article 320;unité;9.40;120;20;120
ART-0321;Tuyau PVC 321;REF-0321;;mètre;9.77;121;20;121
ART-0322;Vis inox 322;REF-0322;;kg;10.14;122;20;122
ART-0323;Cable électrique 323;REF-0323;;litre;10.51;123;20;123
ART-0324;Joint torique 324;REF-0324;;boîte;10.88;124;20;124
ART-0325;Robinet thermostatique 325;REF-0325;Description article 325;unité;11.25;125;20;125
ART-0326;Collier de serrage 326;REF-0326;;mètre;11.62;126;20;126
ART-0327;Isolant laine 327;REF-0327;;kg;11.99;127;20;127
ART-0328;Peinture acrylique 328;REF-0328;;litre;12.36;128;20;128
ART-0329;Mastic 329;REF-0329;;boîte;12.73;129;20;129
ART-0330;Joint silicone 330;REF-0330;Description article 330;unité;13.10;130;20;130
ART-0331;Tuyau PVC 331;REF-0331;;mètre;13.47;131;20;131
ART-0332;Vis inox 332;REF-0332;;kg;13.84;132;20;132
ART-0333;Cable électrique 333;REF-0333;;litre;14.21;133;20;133
ART-0334;Joint torique 334;REF-0334;;boîte;14.58;134;20;134
ART-0335;Robinet thermostatique 335;REF-0335;Description article 335;unité;14.95;135;20;135
ART-0336;Collier de serrage 336;REF-0336;;mètre;15.32;136;20;136
ART-0337;Isolant laine 337;REF-0337;;kg;15.69;137;20;137
ART-0338;Peinture acrylique 338;REF-0338;;litre;16.06;138;20;138
ART-0339;Mastic 339;REF-0339;;boîte;16.43;139;20;139
ART-0340;Joint silicone 340;REF-0340;Description article 340;unité;16.80;140;20;140
ART-0341;Tuyau PVC 341;REF-0341;;mètre;17.17;141;20;141
ART-0342;Vis inox 342;REF-0342;;kg;17.54;142;20;142
ART-0343;Cable électrique 343;REF-0343;;litre;17.91;143;20;143
ART-0344;Joint torique 344;REF-0344;;boîte;18.28;144;20;144
ART-0345;Robinet thermostatique 345;REF-0345;Description article 345;unité;18.65;145;20;145
ART-0346;Collier de serrage 346;REF-0346;;mètre;19.02;146;20;146
ART-0347;Isolant laine 347;REF-0347;;kg;19.39;147;20;147
ART-0348;Peinture acrylique 348;REF-0348;;litre;19.76;148;20;148
ART-0349;Mastic 349;REF-0349;;boîte;20.13;149;20;149
ART-0350;Joint silicone 350;REF-0350;Description article 350;unité;2.00;150;20;150
ART-0351;Tuyau PVC 351;REF-0351;;mètre;2.37;151;20;151
ART-0352;Vis inox 352;REF-0352;;kg;2.74;152;20;152
ART-0353;Cable électrique 353;REF-0353;;litre;3.11;153;20;153
ART-0354;Joint torique 354;REF-0354;;boîte;3.48;154;20;154
ART-0355;Robinet thermostatique 355;REF-0355;Description article 355;unité;3.85;155;20;155
ART-0356;Collier de serrage 356;REF-0356;;mètre;4.22;156;20;156
ART-0357;Isolant laine 357;REF-0357;;kg;4.59;157;20;157
ART-0358;Peinture acrylique 358;REF-0358;;litre;4.96;158;20;158
ART-0359;Mastic 359;REF-0359;;boîte;5.33;159;20;159
ART-0360;Joint silicone 360;REF-0360;Description article 360;unité;5.70;160;20;160
ART-0361;Tuyau PVC 361;REF-0361;;mètre;6.07;161;20;161
ART-0362;Vis inox 362;REF-0362;;kg;6.44;162;20;162
ART-0363;Cable électrique 363;REF-0363;;litre;6.81;163;20;163
ART-0364;Joint torique 364;REF-0364;;boîte;7.18;164;20;164
ART-0365;Robinet thermostatique 365;REF-0365;Description article 365;unité;7.55;165;20;165
ART-0366;Collier de serrage 366;REF-0366;;mètre;7.92;166;20;166
ART-0367;Isolant laine 367;REF-0367;;kg;8.29;167;20;167
ART-0368;Peinture acrylique 368;REF-0368;;litre;8.66;168;20;168
ART-0369;Mastic 369;REF-0369;;boîte;9.03;169;20;169
ART-0370;Joint silicone 370;REF-0370;Description article 370;unité;9.40;170;20;170
ART-0371;Tuyau PVC 371;REF-0371;;mètre;9.77;171;20;171
ART-0372;Vis inox 372;REF-0372;;kg;10.14;172;20;172
ART-0373;Cable électrique 373;REF-0373;;litre;10.51;173;20;173
ART-0374;Joint torique 374;REF-0374;;boîte;10.88;174;20;174
ART-0375;Robinet thermostatique 375;REF-0375;Description article 375;unité;11.25;175;20;175
ART-0376;Collier de serrage 376;REF-0376;;mètre;11.62;176;20;176
ART-0377;Isolant laine 377;REF-0377;;kg;11.99;177;20;177
ART-0378;Peinture acrylique 378;REF-0378;;litre;12.36;178;20;178
